last_name, first_name,player_id,year,xba,exit_velocity_avg,barrel_batted_rate,
Peralta, David,444482,2021,.217,89.7,6.1,
Ramos, Wilson,467092,2021,.260,94.4,14.3,
Santana, Carlos,467793,2021,.294,91.6,16,
Brantley Jr., Michael,488726,2021,.360,90.9,11.1,
Escobar, Eduardo,500871,2021,.250,86.8,13,
Pham, Tommy,502054,2021,.241,91.8,13,
Gonzalez, Marwin,503556,2021,.238,87.3,2.5,
Hernandez, Cesar,514917,2021,.275,88.9,10.6,
Freeman, Freddie,518692,2021,.317,93.6,12.7,
LeMahieu, DJ,518934,2021,.288,89.7,3.8,
Rizzo, Anthony,519203,2021,.274,90.4,4.2,
Garcia, Avisail,541645,2021,.314,94.2,15.6,
Ozuna, Marcell,542303,2021,.215,89.2,8.9,
Aguilar, Jesus,542583,2021,.253,87.8,2,
Crawford, Brandon,543063,2021,.253,88.4,13.3,
Cron, C.J.,543068,2021,.236,88.2,11.1,
Semien, Marcus,543760,2021,.185,91,7.7,
Shaw, Travis,543768,2021,.256,86.6,11.9,
Harper, Bryce,547180,2021,.395,92.7,20.9,
Abreu, Jose,547989,2021,.203,92.5,9.1,
Hernandez, Enrique,571771,2021,.248,88.8,10.2,
Muncy, Max,571970,2021,.298,88.4,6.8,
Myers, Wil,571976,2021,.242,85.6,11.9,
Dickerson, Corey,572816,2021,.290,85,2.2,
Yastrzemski, Mike,573262,2021,.164,87.2,7.1,
Iglesias, Jose,578428,2021,.288,88.2,4,
Judge, Aaron,592450,2021,.349,97.8,19.5,
Moran, Colin,592567,2021,.296,90.5,14,
Pederson, Joc,592626,2021,.170,88.6,6.3,
Realmuto, J.T.,592663,2021,.301,89.8,13.5,
Merrifield, Whit,593160,2021,.312,89.3,3.2,
Polanco, Jorge,593871,2021,.287,88.9,3.6,
Duvall, Adam,594807,2021,.206,92,13.2,
Eaton, Adam,594809,2021,.245,85.9,6.4,
Baez, Javier,595879,2021,.191,91.3,15.2,
Cave, Jake,595909,2021,.216,87.7,3.4,
Evans, Phillip,595943,2021,.304,92.2,10.9,
Story, Trevor,596115,2021,.292,90.6,11.5,
Anderson, Brian,605119,2021,.224,88,11.1,
Reyes, Franmil,614177,2021,.269,95.4,18.4,
Taylor, Chris,621035,2021,.263,93.4,17.1,
Correa, Carlos,621043,2021,.339,91.5,7.4,
Santander, Anthony,623993,2021,.252,93.5,9.5,
Frazier, Adam,624428,2021,.309,84.4,0,
Soler, Jorge,624585,2021,.221,94.9,12.9,
Crawford, J.P.,641487,2021,.213,84.4,0,
Benintendi, Andrew,643217,2021,.229,89.7,4.5,
Ohtani, Shohei,660271,2021,.311,93.5,27.5,
Acuna Jr., Ronald,660670,2021,.395,95.6,18.9,
Fletcher, David,664058,2021,.282,81.3,0,
Moore, Dylan,664238,2021,.183,87.5,12.5,
Chisholm Jr. Jr., Jazz,665862,2021,.275,91.4,25.8,
Carlson, Dylan,666185,2021,.213,87.4,9.8,
Gurriel Jr., Lourdes,666971,2021,.254,88,4.8,
Hiura, Keston,669374,2021,.175,90,10.3,
Lopez, Nicky,670032,2021,.235,85.8,0,
Robert, Luis,673357,2021,.302,90.2,13,
Molina, Yadier,425877,2021,.284,89.6,10.6,
Cabrera, Asdrubal,452678,2021,.232,87.5,8.2,
Upton, Justin,457708,2021,.259,92.7,14.3,
Votto, Joey,458015,2021,.316,92.5,12.3,
Lowrie, Jed,476704,2021,.361,92.6,11.8,
Gurriel, Yuli,493329,2021,.297,92.8,5.8,
Rojas, Miguel,500743,2021,.282,84.1,1.9,
Segura, Jean,516416,2021,.260,87.5,5.9,
Castro, Starlin,516770,2021,.242,85.6,4,
d'Arnaud, Travis,518595,2021,.242,90.6,11.4,
Vazquez, Christian,543877,2021,.256,87.3,4.1,
Schoop, Jonathan,570731,2021,.207,86.9,5.1,
Taylor, Michael A.,572191,2021,.307,92.7,12.2,
Castellanos, Nick,592206,2021,.371,90.5,12,
Rosario, Eddie,592696,2021,.229,88.4,6.4,
Sano, Miguel,593934,2021,.143,86.6,8,
Lindor, Francisco,596019,2021,.268,87.9,2.3,
Slater, Austin,596103,2021,.198,85.5,10,
Gallo, Joey,608336,2021,.208,91.6,3.2,
Dahl, David,621311,2021,.226,85.3,6.5,
Wendle, Joey,621563,2021,.288,91.3,5.8,
Hampson, Garrett,641658,2021,.208,84.6,2.3,
Mancini III, Trey,641820,2021,.255,88,14.6,
McMahon, Ryan,641857,2021,.260,91.8,9.1,
Adames, Willy,642715,2021,.235,89.6,11.4,
Kiner-Falefa, Isiah,643396,2021,.259,89.8,3.2,
Devers, Rafael,646240,2021,.336,94.2,21.3,
Arraez, Luis,650333,2021,.333,91.4,4.2,
Torres, Gleyber,650402,2021,.201,82.8,6.8,
Castro, Willi,650489,2021,.255,86.8,4.1,
Diaz, Yandy,650490,2021,.286,89.6,6.4,
Verdugo, Alex,657077,2021,.322,89.5,7.1,
Moncada, Yoan,660162,2021,.238,85.9,7.7,
Tsutsugo, Yoshi,660294,2021,.192,89.3,2.9,
Mountcastle, Ryan,663624,2021,.190,89.8,11.6,
Lowe, Nate,663993,2021,.262,90.3,17,
France, Ty,664034,2021,.313,88.5,15.9,
Straw, Myles,664702,2021,.268,86.1,0,
Soto, Juan,665742,2021,.363,94.1,18.2,
Cruz Jr., Nelson,443558,2021,.337,94.7,26.2,
Blackmon, Charlie,453568,2021,.271,88.4,9.5,
McCutchen, Andrew,457705,2021,.228,87.1,2.5,
Marte, Starling,516782,2021,.309,89.9,9.1,
Galvis, Freddy,520471,2021,.223,87.8,4.7,
Perez, Salvador,521692,2021,.292,92.9,16.3,
Hicks, Aaron,543305,2021,.214,87.7,8.1,
Grichuk, Randal,545341,2021,.249,90.9,10.6,
Ruiz, Rio,547004,2021,.193,86.4,6.3,
Polanco, Gregory,570256,2021,.213,90.6,16.1,
Urshela, Gio,570482,2021,.273,90.7,4.4,
Arenado, Nolan,571448,2021,.255,89.2,10.5,
Haniger, Mitch,571745,2021,.302,88.7,12.3,
Seager, Kyle,572122,2021,.254,89.4,13.7,
Canha, Mark,592192,2021,.227,87.1,14.3,
Franco, Maikel,596748,2021,.237,89.2,5.6,
Bradley Jr. Jr., Jackie,598265,2021,.215,89.3,2.4,
Mercedes, Yermin,606213,2021,.319,88,12.2,
Turner, Trea,607208,2021,.304,90.9,10.4,
Ramirez, Jose,608070,2021,.312,91.3,11.3,
