last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Mathis, Jeff,425772,2020,.198,.348,.273,.259,.150,89.6,20.6,7.7,
Encarnacion, Edwin,429665,2020,.161,.366,.277,.257,.205,85.4,22.8,13.2,
Kendrick III, Howie,435062,2020,.282,.450,.332,.333,.168,88.8,7.3,6.6,
Peralta, David,444482,2020,.257,.367,.295,.301,.110,89.2,6.4,5,
Fowler, Dexter,451594,2020,.214,.351,.292,.300,.136,84.5,11.2,4.8,
Flowers, Tyler,452095,2020,.189,.322,.282,.300,.133,93,16.2,8.6,
Cabrera, Asdrubal,452678,2020,.242,.427,.316,.306,.185,89.5,13.7,6.5,
Votto, Joey,458015,2020,.253,.478,.369,.377,.225,87.4,15.4,9.1,
Gardner, Brett,458731,2020,.226,.370,.327,.357,.144,89.2,15,5.2,
Gordon, Alex,460086,2020,.230,.351,.300,.318,.121,82.8,11.6,3.2,
Cervelli, Francisco,465041,2020,.244,.438,.348,.353,.195,89,13.3,7.7,
Sandoval, Pablo,467055,2020,.233,.343,.289,.304,.110,91.9,8,3,
Ramos, Wilson,467092,2020,.247,.419,.316,.306,.172,89,6.5,7.1,
Santana, Carlos,467793,2020,.250,.444,.368,.390,.194,88,12.2,6.7,
Belt, Brandon,474832,2020,.287,.597,.422,.406,.310,90.7,18,16.8,
Smoak, Justin,475253,2020,.187,.327,.260,.260,.139,89.6,15.3,3.8,
Brantley Jr., Michael,488726,2020,.260,.413,.325,.327,.153,88.7,10.2,4.9,
Castro, Jason,488771,2020,.237,.485,.352,.336,.248,92.7,19.7,14.9,
Escobar, Eduardo,500871,2020,.261,.394,.305,.316,.132,88.6,18.1,5.5,
Adrianza, Ehire,501303,2020,.202,.308,.276,.296,.107,85.9,16,3,
Pham, Tommy,502054,2020,.261,.448,.353,.356,.187,92.8,2.4,7.3,
Dyson, Jarrod,502481,2020,.207,.238,.229,.256,.031,82.7,5.7,0,
Murphy, Daniel,502517,2020,.238,.345,.272,.278,.106,85.1,15.5,4.9,
Gonzalez, Marwin,503556,2020,.240,.401,.314,.315,.162,89.2,12.6,5.1,
Hernandez, Cesar,514917,2020,.273,.396,.330,.346,.123,89.1,5.6,4,
Donaldson, Josh,518626,2020,.210,.413,.344,.366,.203,92.8,6.2,6.9,
Freeman, Freddie,518692,2020,.338,.656,.462,.459,.318,92.4,17.2,14.7,
LeMahieu, DJ,518934,2020,.308,.453,.361,.371,.145,91.3,2.3,2.9,
Moreland, Mitch,519048,2020,.236,.476,.340,.316,.240,88.2,12.5,14.4,
Moustakas, Mike,519058,2020,.240,.430,.335,.340,.191,88.8,16.3,9.5,
Romine, Austin,519222,2020,.205,.294,.229,.228,.089,87.9,7.7,4.8,
Villar, Jonathan,542340,2020,.211,.281,.255,.282,.070,86.7,1.6,1.5,
Aguilar, Jesus,542583,2020,.271,.452,.345,.348,.182,89.3,16,7.2,
Berti, Jon,542932,2020,.241,.316,.323,.374,.074,86.6,7.2,3.5,
Crawford, Brandon,543063,2020,.234,.396,.307,.310,.162,88.7,12.4,9.4,
Cron, C.J.,543068,2020,.195,.484,.361,.350,.289,85.5,20.6,19.2,
Gomes, Yan,543228,2020,.280,.458,.335,.320,.178,89.9,17.6,5.6,
Semien, Marcus,543760,2020,.203,.344,.281,.287,.141,86.2,19.3,5,
Shaw, Travis,543768,2020,.241,.435,.322,.309,.194,90.9,19.8,7.9,
Springer III, George,543807,2020,.290,.560,.400,.382,.269,88.7,18.3,12.4,
Trout, Mike,545361,2020,.286,.602,.422,.399,.315,93.7,23.1,15,
Wolters, Tony,547172,2020,.265,.346,.294,.313,.081,84.1,8.2,0,
Harper, Bryce,547180,2020,.308,.656,.453,.451,.348,92.5,16,17.3,
Santana, Domingo,570267,2020,.193,.345,.307,.328,.152,85.5,5.4,6.7,
Farmer, Kyle,571657,2020,.278,.443,.342,.340,.165,89.6,18.2,5.9,
Holt, Brock,571788,2020,.223,.288,.267,.294,.066,84,10.5,1.4,
